prefix,input_text,target_text
translate thai to english, แบบทดสอบวัดผลสัมฤทธิ์ทางการเรียนเรื่องอัตราส่วนและร้อยละสำหรับชั้นมัธยมศึกษาปีที่ 2, learning achievement evaluation tests on ratio and percentage for mattayomseuksa 2 level. 
translate english to thai, learning achievement evaluation tests on ratio and percentage for mattayomseuksa 2 level. , แบบทดสอบวัดผลสัมฤทธิ์ทางการเรียนเรื่องอัตราส่วนและร้อยละสำหรับชั้นมัธยมศึกษาปีที่ 2
translate thai to english,ผลการวิจัยพบว่าระบบสนับสนุนการตัดสินใจปลูกผักตามกลไกราคาตลาดในจังหวัดราชบุรีมีผู้ใช้ 2 กลุ่ม ได้แก่ ผู้ดูแลระบบจัดการข้อมูลผัก,"The research findings show that the decision support system for vegetable farming according to market price mechanism in Ratchaburi has two user groups, including, system administrators managing the data of vegetables. "
translate english to thai,"The research findings show that the decision support system for vegetable farming according to market price mechanism in Ratchaburi has two user groups, including, system administrators managing the data of vegetables. ",ผลการวิจัยพบว่าระบบสนับสนุนการตัดสินใจปลูกผักตามกลไกราคาตลาดในจังหวัดราชบุรีมีผู้ใช้ 2 กลุ่ม ได้แก่ ผู้ดูแลระบบจัดการข้อมูลผัก
translate thai to english,ใช้กล้อง IR เพื่อแสดงการเปลี่ยนแปลงการแพร่กระจายความร้อนในพื้นที่ที่มีข้อบกพร่องของพื้นผิว SiC ได้อย่างชัดเจนโดยการสังเกตภาพการกระจายอุณหภูมิแบบเรียลไทม์,IR camera was applied to show clearly the change in heat propagation in areas of defects in SiC substrates by observation of temperature distribution images in real time.
translate english to thai,IR camera was applied to show clearly the change in heat propagation in areas of defects in SiC substrates by observation of temperature distribution images in real time.,ใช้กล้อง IR เพื่อแสดงการเปลี่ยนแปลงการแพร่กระจายความร้อนในพื้นที่ที่มีข้อบกพร่องของพื้นผิว SiC ได้อย่างชัดเจนโดยการสังเกตภาพการกระจายอุณหภูมิแบบเรียลไทม์
translate thai to english,บทความนี้นำเสนอการพัฒนาโครงสร้าง และระบบตรวจวัดสภาพแวดล้อมของโรงเรือนเกษตรแบบปิดในมหาวิทยาลัยอุบลราชธานี,This paper presents the development of infrastructure and monitoring system of greenhouse in Ubon Ratchathani University.
translate english to thai,This paper presents the development of infrastructure and monitoring system of greenhouse in Ubon Ratchathani University.,บทความนี้นำเสนอการพัฒนาโครงสร้าง และระบบตรวจวัดสภาพแวดล้อมของโรงเรือนเกษตรแบบปิดในมหาวิทยาลัยอุบลราชธานี
translate thai to english,ในทุกการทดลอง สารฟรุกแทนประเภทอินนูลินเพิ่มขึ้นในเดือนที่ 6 ของการเก็บรักษา แต่ไม่มีระดับที่มีนัยสำคัญทางสถิติ,"In every experiment, inulin-type fructans increased in the 6th month of the storage but there was no statistical significance level."
translate english to thai,"In every experiment, inulin-type fructans increased in the 6th month of the storage but there was no statistical significance level.",ในทุกการทดลอง สารฟรุกแทนประเภทอินนูลินเพิ่มขึ้นในเดือนที่ 6 ของการเก็บรักษา แต่ไม่มีระดับที่มีนัยสำคัญทางสถิติ
translate thai to english,การวิจัยครั้งนี้เป็นการวิจัยเชิงทดลอง,This research is experimental research.
translate english to thai,This research is experimental research.,การวิจัยครั้งนี้เป็นการวิจัยเชิงทดลอง
translate thai to english,ถังดินนี้สั่นสะเทือนด้วยมอเตอร์เพื่อปล่อยดินประมาณ 30 - 40 กรัมลงในถาดเป็นดินชั้นแรก,This soil tank is vibrated by a motor to release approximately 30 - 40 grams of soil into the tray as the first layer soil.
translate english to thai,This soil tank is vibrated by a motor to release approximately 30 - 40 grams of soil into the tray as the first layer soil.,ถังดินนี้สั่นสะเทือนด้วยมอเตอร์เพื่อปล่อยดินประมาณ 30 - 40 กรัมลงในถาดเป็นดินชั้นแรก
translate thai to english,อัตราการไหลของข้าวเปลือกเฉลี่ย 2.85,The average paddy flow rate was 2.85. 
translate english to thai,The average paddy flow rate was 2.85. ,อัตราการไหลของข้าวเปลือกเฉลี่ย 2.85
translate thai to english,งานวิจัยเรื่อง “การพัฒนาสมรรถนะเจ้าหน้าที่อนุรักษ์พลังงานในอาคารควบคุม-โรงพยาบาลในเขตกรุงเทพมหานครและปริมณฑล” ได้รับการออกแบบเป็นการวิจัยเชิงปฏิบัติการเชิงคุณภาพเพื่อพัฒนาหลักสูตรฝึกอบรมสมรรถนะและประเมินสมรรถนะของกลุ่มเป้าหมาย,The research on “Competency Development of the Energy Conservation Staff in Controlled Buildings-Hospital in Bangkok and Vicinity Areas” has been designed as a qualitative action research to develop competency training course and to evaluate the competency of the target group.
translate english to thai,The research on “Competency Development of the Energy Conservation Staff in Controlled Buildings-Hospital in Bangkok and Vicinity Areas” has been designed as a qualitative action research to develop competency training course and to evaluate the competency of the target group.,งานวิจัยเรื่อง “การพัฒนาสมรรถนะเจ้าหน้าที่อนุรักษ์พลังงานในอาคารควบคุม-โรงพยาบาลในเขตกรุงเทพมหานครและปริมณฑล” ได้รับการออกแบบเป็นการวิจัยเชิงปฏิบัติการเชิงคุณภาพเพื่อพัฒนาหลักสูตรฝึกอบรมสมรรถนะและประเมินสมรรถนะของกลุ่มเป้าหมาย
translate thai to english,โดยการให้อาหารสำเร็จรูปกับปลวกนั้นให้ผลตอบแทนคุ้มค่ากว่าการทดลองให้อาหารสำเร็จรูปกับจิ้งหรีดและมดแดงตามลำดับ,By feeding ready-made pellets with termites has more rewarding than the finished pellet feeding experiment with crickets and red ants respectively. 
translate english to thai,By feeding ready-made pellets with termites has more rewarding than the finished pellet feeding experiment with crickets and red ants respectively. ,โดยการให้อาหารสำเร็จรูปกับปลวกนั้นให้ผลตอบแทนคุ้มค่ากว่าการทดลองให้อาหารสำเร็จรูปกับจิ้งหรีดและมดแดงตามลำดับ
translate thai to english,จังหวัดพระนครศรีอยุธยา ได้แก่ ข้าวและมันเทศ,Phra Nakhon Si Ayutthaya provinces include rice and sweet potatoes.
translate english to thai,Phra Nakhon Si Ayutthaya provinces include rice and sweet potatoes.,จังหวัดพระนครศรีอยุธยา ได้แก่ ข้าวและมันเทศ
translate thai to english,การจัดเรียงที่เหมาะสมกว่าของอนุภาคที่มีขนาดใหญ่กว่า,A more appropriate arrangement of particles larger than.
translate english to thai,A more appropriate arrangement of particles larger than.,การจัดเรียงที่เหมาะสมกว่าของอนุภาคที่มีขนาดใหญ่กว่า
translate thai to english,กลุ่มที่ 2 เพื่อค้นหาคุณสมบัติต้นแบบผ้าไหมที่ได้พัฒนาขึ้น ได้แก่ กลุ่มสตรีทอผ้าไหมบ้านหนองบัว ตำบลหนองบัว อำเภอศีขรภูมิ และ กลุ่มทอผ้าไหมบ้านสิบหมี ตำบลเทนมีย์ อำเภอเมือง,"The second group for discovering the silk prototype properties that have been developed consisted of the Ban Nong Bua Silk Weaving Women Group, Nong Bua subdistrict, Sikhoraphum district and the Ban Ten Mi Silk Weaving Group, Tenme subdistrict, Muang district."
translate english to thai,"The second group for discovering the silk prototype properties that have been developed consisted of the Ban Nong Bua Silk Weaving Women Group, Nong Bua subdistrict, Sikhoraphum district and the Ban Ten Mi Silk Weaving Group, Tenme subdistrict, Muang district.",กลุ่มที่ 2 เพื่อค้นหาคุณสมบัติต้นแบบผ้าไหมที่ได้พัฒนาขึ้น ได้แก่ กลุ่มสตรีทอผ้าไหมบ้านหนองบัว ตำบลหนองบัว อำเภอศีขรภูมิ และ กลุ่มทอผ้าไหมบ้านสิบหมี ตำบลเทนมีย์ อำเภอเมือง
translate thai to english,ผลการวิจัยพบว่า  โมเดลการจัดการห้องปฏิบัติการวิเคราะห์ทางอินเทอร์เน็ต เทคโนโลยีสมองกลฝังตัว ประกอบด้วย 5 ส่วนหลัก ส่วนที่ 1 ทฤษฎีหลักการ ส่วนที่ 2 ส่วนประกอบของอินเทอร์เน็ต ส่วนที่ 3 การจัดการคลังสินค้าอินเทอร์เน็ต ส่วนที่ 4 การจัดการห้องเรียนอัจฉริยะ ส่วนที่ 5 ห้องปฏิบัติการบนอินเทอร์เน็ต การจัดการด้วยเทคโนโลยีสมองกลฝังตัว,"The results of this research were as follows  The Internet Analytical Laboratory Management Model Embedded technology consists of 5 main parts Part 1 Principles Theory, Part 2 Internet Components, Part 3 Internet Warehouse Management, Part 4 Intelligent Classroom Management, Part 5 Internet Based Laboratory Management with Embedded Technology. "
translate english to thai,"The results of this research were as follows  The Internet Analytical Laboratory Management Model Embedded technology consists of 5 main parts Part 1 Principles Theory, Part 2 Internet Components, Part 3 Internet Warehouse Management, Part 4 Intelligent Classroom Management, Part 5 Internet Based Laboratory Management with Embedded Technology. ",ผลการวิจัยพบว่า  โมเดลการจัดการห้องปฏิบัติการวิเคราะห์ทางอินเทอร์เน็ต เทคโนโลยีสมองกลฝังตัว ประกอบด้วย 5 ส่วนหลัก ส่วนที่ 1 ทฤษฎีหลักการ ส่วนที่ 2 ส่วนประกอบของอินเทอร์เน็ต ส่วนที่ 3 การจัดการคลังสินค้าอินเทอร์เน็ต ส่วนที่ 4 การจัดการห้องเรียนอัจฉริยะ ส่วนที่ 5 ห้องปฏิบัติการบนอินเทอร์เน็ต การจัดการด้วยเทคโนโลยีสมองกลฝังตัว
translate thai to english,นอกจากนี้ยังสามารถลดค่าพลังงานไฟฟ้าต่อการประจุไฟฟ้าให้รถยนต์ไฟฟ้าได้ถึง 71% และเมื่อมีการใช้ซอฟต์แวร์เพื่อกำหนดแผนการประจุไฟฟ้าให้กับรถยนต์ไฟฟ้าล่วงหน้า จะลดค่าพลังงานไฟฟ้าต่อการประจุไฟฟ้าให้รถยนต์ไฟฟ้าลงได้อย่างน้อย 16% และ 71% เมื่อมีกำหนดการล่วงหน้าอย่างน้อย 5 ชั่วโมง และ 10 ชั่วโมง ตามลำดับ,"Moreover, the EV energy planning application has been developed for customize energy management plan and make 16% and 71% energy cost reduction per EV charging in case of 5 hr and 10 hr pre-scheduled respectively."
translate english to thai,"Moreover, the EV energy planning application has been developed for customize energy management plan and make 16% and 71% energy cost reduction per EV charging in case of 5 hr and 10 hr pre-scheduled respectively.",นอกจากนี้ยังสามารถลดค่าพลังงานไฟฟ้าต่อการประจุไฟฟ้าให้รถยนต์ไฟฟ้าได้ถึง 71% และเมื่อมีการใช้ซอฟต์แวร์เพื่อกำหนดแผนการประจุไฟฟ้าให้กับรถยนต์ไฟฟ้าล่วงหน้า จะลดค่าพลังงานไฟฟ้าต่อการประจุไฟฟ้าให้รถยนต์ไฟฟ้าลงได้อย่างน้อย 16% และ 71% เมื่อมีกำหนดการล่วงหน้าอย่างน้อย 5 ชั่วโมง และ 10 ชั่วโมง ตามลำดับ
translate thai to english,ทดสอบถ่านที่ศึกษาดังนี้ ไอโซเทอร์มการดูดซับสำหรับก๊าซโทลูอีนที่ใช้เป็นตัวแทนของสารประกอบอินทรีย์ระเหยง่าย จำนวนไอโอดีน พื้นที่ผิวจำเพาะและลักษณะรูพรุน กลุ่มฟังก์ชันบนพื้นผิว และสัณฐานวิทยาด้วยกล้องจุลทรรศน์อิเล็กตรอนแบบส่องกราด,"Studied chars were tested as follows adsorption isotherm for gaseous toluene used as a representative of a volatile organic compound, iodine number, specific surface area and pore characteristics, functional groups on the surface, and morphology by scanning electron microscopy."
translate english to thai,"Studied chars were tested as follows adsorption isotherm for gaseous toluene used as a representative of a volatile organic compound, iodine number, specific surface area and pore characteristics, functional groups on the surface, and morphology by scanning electron microscopy.",ทดสอบถ่านที่ศึกษาดังนี้ ไอโซเทอร์มการดูดซับสำหรับก๊าซโทลูอีนที่ใช้เป็นตัวแทนของสารประกอบอินทรีย์ระเหยง่าย จำนวนไอโอดีน พื้นที่ผิวจำเพาะและลักษณะรูพรุน กลุ่มฟังก์ชันบนพื้นผิว และสัณฐานวิทยาด้วยกล้องจุลทรรศน์อิเล็กตรอนแบบส่องกราด
translate thai to english,ความสามารถในการทำงานของมอร์ตาร์คือส่วนผสมระหว่างความสามารถในการเปลี่ยนรูปและความหนืด,The workability of mortar is the combination between deformability and viscosity. 
translate english to thai,The workability of mortar is the combination between deformability and viscosity. ,ความสามารถในการทำงานของมอร์ตาร์คือส่วนผสมระหว่างความสามารถในการเปลี่ยนรูปและความหนืด
translate thai to english,ขณะที่ความสูงของน้ำประมาณ 40 เซนติเมตร,While the height of water about 40 centimeters. 
translate english to thai,While the height of water about 40 centimeters. ,ขณะที่ความสูงของน้ำประมาณ 40 เซนติเมตร
translate thai to english,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ  ศึกษาความพึงพอใจของนักเรียนในการเข้าร่วมกิจกรรมค่ายสานฝันวิชาการจากรุ่นพี่สู่รุ่นน้องด้านภูมิสารสนเทศ และ  ศึกษาความต้องการเข้าศึกษาด้านภูมิสารสนเทศของนักเรียน,The purposes of the research were  to study student satisfaction for joining in academic dream camp activity from senior to junior with Geo-informatics and  to study the demand of student to study in Geo-informatics. 
translate english to thai,The purposes of the research were  to study student satisfaction for joining in academic dream camp activity from senior to junior with Geo-informatics and  to study the demand of student to study in Geo-informatics. ,การวิจัยครั้งนี้มีวัตถุประสงค์เพื่อ  ศึกษาความพึงพอใจของนักเรียนในการเข้าร่วมกิจกรรมค่ายสานฝันวิชาการจากรุ่นพี่สู่รุ่นน้องด้านภูมิสารสนเทศ และ  ศึกษาความต้องการเข้าศึกษาด้านภูมิสารสนเทศของนักเรียน
translate thai to english,ระยะเวลาคืนทุน 2 เดือน,Payback period is 2 months. 
translate english to thai,Payback period is 2 months. ,ระยะเวลาคืนทุน 2 เดือน
translate thai to english,ซึ่งหมายถึงค่า gd ที่มากขึ้น ค่า qu ที่มากขึ้น,"This means the greater gd value, the greater qu value."
translate english to thai,"This means the greater gd value, the greater qu value.",ซึ่งหมายถึงค่า gd ที่มากขึ้น ค่า qu ที่มากขึ้น
translate thai to english,2. นักเรียนมีความสนใจในกิจกรรมการเรียนรู้,2. Students were interested in learning activities. 
translate english to thai,2. Students were interested in learning activities. ,2. นักเรียนมีความสนใจในกิจกรรมการเรียนรู้
translate thai to english,งานวิจัยนี้ศึกษาต้นทุนระบบปรับอากาศแบบไหลแปรผันของสารทำความเย็นในอาคารสำนักงาน,This research study the cost of variable refrigerant flow air conditioning system in office building. 
translate english to thai,This research study the cost of variable refrigerant flow air conditioning system in office building. ,งานวิจัยนี้ศึกษาต้นทุนระบบปรับอากาศแบบไหลแปรผันของสารทำความเย็นในอาคารสำนักงาน
translate thai to english,ผลการศึกษาพบว่าในช่วงสัปดาห์ที่ 2 การเสริมยีสต์ออโตไลซิสที่ร้อยละ 0.1 มีแนวโน้มการเจริญเติบโตสูงขึ้น,The results showed that in during week 2 period supplementation of autolysis yeast at 0.1 percent tended to higher growth performance.
translate english to thai,The results showed that in during week 2 period supplementation of autolysis yeast at 0.1 percent tended to higher growth performance.,ผลการศึกษาพบว่าในช่วงสัปดาห์ที่ 2 การเสริมยีสต์ออโตไลซิสที่ร้อยละ 0.1 มีแนวโน้มการเจริญเติบโตสูงขึ้น
translate thai to english,โดยการใช้ทางเลือก DOE สามารถลดปริมาณการทดลองเป็นวิธีของทากุจิ,By applying Alternative DOE can reduce the quantity of experiment as Taguchi's method.
translate english to thai,By applying Alternative DOE can reduce the quantity of experiment as Taguchi's method.,โดยการใช้ทางเลือก DOE สามารถลดปริมาณการทดลองเป็นวิธีของทากุจิ
translate thai to english,แอปพลิเคชันสามารถคำนวณขนาดยาที่มีความเสี่ยงสูงในกลุ่มผู้ป่วยที่มีน้ำหนักปกติและน้ำหนักเกินปกติได้,The application can calculate high-risk doses in a patient group with a normal weight and above normal weight can be calculated. 
translate english to thai,The application can calculate high-risk doses in a patient group with a normal weight and above normal weight can be calculated. ,แอปพลิเคชันสามารถคำนวณขนาดยาที่มีความเสี่ยงสูงในกลุ่มผู้ป่วยที่มีน้ำหนักปกติและน้ำหนักเกินปกติได้
translate thai to english,ดังนั้นงานวิจัยนี้จึงได้ศึกษาบริษัทจัดส่งเครื่องดื่มแห่งหนึ่ง,"Therefore, this research has studied a beverage delivery company. "
translate english to thai,"Therefore, this research has studied a beverage delivery company. ",ดังนั้นงานวิจัยนี้จึงได้ศึกษาบริษัทจัดส่งเครื่องดื่มแห่งหนึ่ง
translate thai to english,งานวิจัยนี้เกี่ยวข้องกับการออกแบบและสร้างต้นแบบเครื่องแยกเส้นใยผลตาลเพื่อลดเวลาและแรงงานในการสกัดเส้นใยผลตาล,This research is concerned with the design and fabrication of a prototype Palmyra fruit fibre separating machine to minimize the time and labor requirements in the extraction of Palmyra fruit fibre.
translate english to thai,This research is concerned with the design and fabrication of a prototype Palmyra fruit fibre separating machine to minimize the time and labor requirements in the extraction of Palmyra fruit fibre.,งานวิจัยนี้เกี่ยวข้องกับการออกแบบและสร้างต้นแบบเครื่องแยกเส้นใยผลตาลเพื่อลดเวลาและแรงงานในการสกัดเส้นใยผลตาล
translate thai to english,วิเคราะห์ปัจจัย 7 กลุ่มปัจจัย การเปลี่ยนแปลงคำสั่งของเจ้าของเป็นสาเหตุหลักของคำสั่งการเปลี่ยนแปลงในโครงการ,Factor analysis revealed 7 groups of factors. Owner’s directive changes is the main cause of variation orders in the project. 
translate english to thai,Factor analysis revealed 7 groups of factors. Owner’s directive changes is the main cause of variation orders in the project. ,วิเคราะห์ปัจจัย 7 กลุ่มปัจจัย การเปลี่ยนแปลงคำสั่งของเจ้าของเป็นสาเหตุหลักของคำสั่งการเปลี่ยนแปลงในโครงการ
translate thai to english,ตามประกาศคณะกรรมการฉลาก ฉบับที่ 31 (พ.ศ. 255 ระบบกรองน้ำภายในตู้ส่วนใหญ่ 94.6% ระบบ Reverse Osmosis (RO) จากการตรวจวิเคราะห์คุณภาพน้ำดื่มทางจุลชีววิทยาของเครื่องจ่ายน้ำดื่มอัตโนมัติ จำนวน 270 ตัวอย่าง ไม่ผ่านเกณฑ์มาตรฐาน 121 ตัวอย่าง คิดเป็นร้อยละ 44.8 และจากการวิเคราะห์ความสัมพันธ์พบว่าการตรวจวิเคราะห์จุลินทรีย์ที่ไม่ได้มาตรฐาน มีความสัมพันธ์กับตู้น้ำดื่มอัตโนมัติแบบประตูที่ไม่มีประตูปิดช่องจ่ายน้ำอย่างมีนัยสำคัญทางสถิติ (P < 0.0 ตู้น้ำดื่มอัตโนมัติสำหรับผู้ประกอบการและผู้บริโภค.,"According to the Notification of the Labeling Committee, No. 31 (20. Most of the water filtration systems inside the cabinets were 94.6%. Reverse osmosis (RO) from microbiological analysis of drinking water quality of the automatic drinking water dispensers, a total of 270 samples failed to meet the standards, 121 samples or 44.8 percent, and from the analysis of relationships found that the non-standard microbial analysis results were significantly related to automatic drinking water dispensers with doors without doors covering the water distribution channels (P < 0.0. Automatic drinking water dispensers for operators and consumers."
translate english to thai,"According to the Notification of the Labeling Committee, No. 31 (20. Most of the water filtration systems inside the cabinets were 94.6%. Reverse osmosis (RO) from microbiological analysis of drinking water quality of the automatic drinking water dispensers, a total of 270 samples failed to meet the standards, 121 samples or 44.8 percent, and from the analysis of relationships found that the non-standard microbial analysis results were significantly related to automatic drinking water dispensers with doors without doors covering the water distribution channels (P < 0.0. Automatic drinking water dispensers for operators and consumers.",ตามประกาศคณะกรรมการฉลาก ฉบับที่ 31 (พ.ศ. 255 ระบบกรองน้ำภายในตู้ส่วนใหญ่ 94.6% ระบบ Reverse Osmosis (RO) จากการตรวจวิเคราะห์คุณภาพน้ำดื่มทางจุลชีววิทยาของเครื่องจ่ายน้ำดื่มอัตโนมัติ จำนวน 270 ตัวอย่าง ไม่ผ่านเกณฑ์มาตรฐาน 121 ตัวอย่าง คิดเป็นร้อยละ 44.8 และจากการวิเคราะห์ความสัมพันธ์พบว่าการตรวจวิเคราะห์จุลินทรีย์ที่ไม่ได้มาตรฐาน มีความสัมพันธ์กับตู้น้ำดื่มอัตโนมัติแบบประตูที่ไม่มีประตูปิดช่องจ่ายน้ำอย่างมีนัยสำคัญทางสถิติ (P < 0.0 ตู้น้ำดื่มอัตโนมัติสำหรับผู้ประกอบการและผู้บริโภค.
translate thai to english, ค่าเฉลี่ยของผลการประเมินประสิทธิภาพของ Web Application ที่พัฒนาโดยผู้เชี่ยวชาญด้านการพัฒนาระบบอยู่ในระดับมาก, the average of performance appraisal results for web applications developed by system development experts was at high level. 
translate english to thai, the average of performance appraisal results for web applications developed by system development experts was at high level. , ค่าเฉลี่ยของผลการประเมินประสิทธิภาพของ Web Application ที่พัฒนาโดยผู้เชี่ยวชาญด้านการพัฒนาระบบอยู่ในระดับมาก
translate thai to english,ดังนั้นโครงการปรับปรุงที่มีการจัดลำดับความสำคัญโดยวิธีการคำนวณที่เหมาะสมจึงมีความจำเป็น,"Therefore, the improvement projects with prioritization that provided by proper calculation method is necessary."
translate english to thai,"Therefore, the improvement projects with prioritization that provided by proper calculation method is necessary.",ดังนั้นโครงการปรับปรุงที่มีการจัดลำดับความสำคัญโดยวิธีการคำนวณที่เหมาะสมจึงมีความจำเป็น
translate thai to english,วิเคราะห์ผลการตอบสนองของนักเรียนตามข้อบกพร่องของกระบวนการแก้ปัญหา 4 ขั้นตอนของแบบทดสอบและร้อยละของนักเรียนที่ตอบข้อผิดพลาดเป็นร้อยละ,Analyze the results of the students' responses based on the shortcomings of the 4-step problem solving process of the test and the percentage of students who responded to the error as a percentage. 
translate english to thai,Analyze the results of the students' responses based on the shortcomings of the 4-step problem solving process of the test and the percentage of students who responded to the error as a percentage. ,วิเคราะห์ผลการตอบสนองของนักเรียนตามข้อบกพร่องของกระบวนการแก้ปัญหา 4 ขั้นตอนของแบบทดสอบและร้อยละของนักเรียนที่ตอบข้อผิดพลาดเป็นร้อยละ
translate thai to english,การวิจัยนี้มีวัตถุประสงค์เพื่อสำรวจความต้องการของชุมชนในการใช้นวัตกรรมเพื่อส่งเสริมการท่องเที่ยว,The objectives of this research were to explore the needs of communities in using innovation to promote tourism. 
translate english to thai,The objectives of this research were to explore the needs of communities in using innovation to promote tourism. ,การวิจัยนี้มีวัตถุประสงค์เพื่อสำรวจความต้องการของชุมชนในการใช้นวัตกรรมเพื่อส่งเสริมการท่องเที่ยว
translate thai to english,อย่างไรก็ตาม ความจริงแล้ว แรงดันไฟฟ้าของระบบไฟฟ้าประกอบด้วยฮาร์มอนิก และเนื่องจากฮาร์มอนิกเหล่านี้ อาจส่งผลต่อความแม่นยำของวิธีการสกัดกระแสไฟรั่วแบบต้านทานในรูปแบบต่างๆ,"However, in fact, electrical system voltage contains harmonics and because of these harmonics, it may affect the accuracy of resistive leakage current extraction methods in different ways."
translate english to thai,"However, in fact, electrical system voltage contains harmonics and because of these harmonics, it may affect the accuracy of resistive leakage current extraction methods in different ways.",อย่างไรก็ตาม ความจริงแล้ว แรงดันไฟฟ้าของระบบไฟฟ้าประกอบด้วยฮาร์มอนิก และเนื่องจากฮาร์มอนิกเหล่านี้ อาจส่งผลต่อความแม่นยำของวิธีการสกัดกระแสไฟรั่วแบบต้านทานในรูปแบบต่างๆ
translate thai to english,งานวิจัยนี้มีวัตถุประสงค์เพื่อการออกแบบและสร้างเครื่องหยอดเมล็ดข้าวโพดอัตโนมัติที่ควบคุมด้วยโปรแกรมควบคุมลอจิก,The objective of this research is for design and fabrication an automatic corn-seed-dropping machine controlled by a programmable logic controller.
translate english to thai,The objective of this research is for design and fabrication an automatic corn-seed-dropping machine controlled by a programmable logic controller.,งานวิจัยนี้มีวัตถุประสงค์เพื่อการออกแบบและสร้างเครื่องหยอดเมล็ดข้าวโพดอัตโนมัติที่ควบคุมด้วยโปรแกรมควบคุมลอจิก
translate thai to english,"ความเร็วรอบเครื่องยนต์ถูกควบคุมที่ 1,300 รอบต่อนาที","The engine speed was controlled at 1,300 rpm.  "
translate english to thai,"The engine speed was controlled at 1,300 rpm.  ","ความเร็วรอบเครื่องยนต์ถูกควบคุมที่ 1,300 รอบต่อนาที"
translate thai to english,รองรับตัวเร่งปฏิกิริยา Ni ที่ใช้กันอย่างแพร่หลายในการปฏิรูปไอเอทานอล อย่างไรก็ตาม ตัวเร่งปฏิกิริยานี้ได้รับผลกระทบอย่างหนักจากการก่อตัวของมีเธนที่สูงขึ้นและการปิดการทำงานอย่างรวดเร็วเนื่องจากการสะสมของคาร์บอน,"Supported Ni catalysts widely used in ethanol steam reforming however, it was seriously suffered by higher methane formation and rapid deactivation due to carbon deposition."
translate english to thai,"Supported Ni catalysts widely used in ethanol steam reforming however, it was seriously suffered by higher methane formation and rapid deactivation due to carbon deposition.",รองรับตัวเร่งปฏิกิริยา Ni ที่ใช้กันอย่างแพร่หลายในการปฏิรูปไอเอทานอล อย่างไรก็ตาม ตัวเร่งปฏิกิริยานี้ได้รับผลกระทบอย่างหนักจากการก่อตัวของมีเธนที่สูงขึ้นและการปิดการทำงานอย่างรวดเร็วเนื่องจากการสะสมของคาร์บอน
translate thai to english,เมื่อคำนวณต้นทุนและวิเคราะห์มูลค่าทางเศรษฐศาสตร์แล้ว ผู้วิจัยพบว่า โมเดลที่ 4 มีผลตอบแทนจากการลงทุนเท่ากับ 1.33 โดยมีระยะเวลาคืนทุน 3.93 ปี,"When calculating the costs and analyzing the economic value, the researcher determined that model 4 has a return on investment of 1.33, with a payback period of 3.93 years. "
translate english to thai,"When calculating the costs and analyzing the economic value, the researcher determined that model 4 has a return on investment of 1.33, with a payback period of 3.93 years. ",เมื่อคำนวณต้นทุนและวิเคราะห์มูลค่าทางเศรษฐศาสตร์แล้ว ผู้วิจัยพบว่า โมเดลที่ 4 มีผลตอบแทนจากการลงทุนเท่ากับ 1.33 โดยมีระยะเวลาคืนทุน 3.93 ปี
translate thai to english,เป็นการศึกษาเพื่อหาประเภทของอาหารเสริมที่เหมาะสมสำหรับการอนุบาลลูกปลา,The study was conducted to determine the types of feed supplements which were appropriate for nursing larvae. 
translate english to thai,The study was conducted to determine the types of feed supplements which were appropriate for nursing larvae. ,เป็นการศึกษาเพื่อหาประเภทของอาหารเสริมที่เหมาะสมสำหรับการอนุบาลลูกปลา
translate thai to english,ผลการวิจัยพบว่าอัตราการอบแห้งแป้งเท้ายายม่อมโดยโดมอบแห้งพลังงานแสงอาทิตย์สูงกว่าวิธีการตากแดดแบบดั้งเดิม แป้งเท้ายายม่อมอบแห้งด้วยโดมอบแห้งพลังงานแสงอาทิตย์ทำได้เร็วกว่าการตากแดดทั่วไปประมาณ 2-4 ชั่วโมง,The results found that drying rate of arrowroot flour by solar drying dome is higher than by traditional sun exposure method. Arrowroot flour dried by solar drying dome is achieved faster than traditional sun exposure about 2-4 hours. 
translate english to thai,The results found that drying rate of arrowroot flour by solar drying dome is higher than by traditional sun exposure method. Arrowroot flour dried by solar drying dome is achieved faster than traditional sun exposure about 2-4 hours. ,ผลการวิจัยพบว่าอัตราการอบแห้งแป้งเท้ายายม่อมโดยโดมอบแห้งพลังงานแสงอาทิตย์สูงกว่าวิธีการตากแดดแบบดั้งเดิม แป้งเท้ายายม่อมอบแห้งด้วยโดมอบแห้งพลังงานแสงอาทิตย์ทำได้เร็วกว่าการตากแดดทั่วไปประมาณ 2-4 ชั่วโมง
translate thai to english,อุตสาหกรรมอิเล็กทรอนิกส์ของไทยเป็นอุตสาหกรรมที่มีศักยภาพสูงและมีความสำคัญอย่างยิ่งต่อเศรษฐกิจไทย,The electronics industry of Thailand is an industry with high potential and very important to the Thai economy.
translate english to thai,The electronics industry of Thailand is an industry with high potential and very important to the Thai economy.,อุตสาหกรรมอิเล็กทรอนิกส์ของไทยเป็นอุตสาหกรรมที่มีศักยภาพสูงและมีความสำคัญอย่างยิ่งต่อเศรษฐกิจไทย
translate thai to english,อุณหภูมิที่เหมาะสมคือ 65 oC ในเวลา 8 ชั่วโมง และใช้พลังงานประมาณ 1.091 kWh/hr สำหรับกระบวนการทำให้แห้ง,The optimum temperature was 65 oC while 8 hours and consume energy about 1.091 kWh/hr for drying process. 
